datetime,total,total_tcp,total_http,total_udp,size,size_tcp,size_http,size_udp
1331913900,20761,8854,7771,4136,14160,5328,6666,2166
1331914200,16778,5662,6724,4392,16933,4729,2442,9762
1331914500,16868,4764,8805,3299,8550,1638,2990,3922
1331914800,13497,3077,3175,7245,19588,8719,2751,8118
1331915100,18805,4455,5177,9173,7316,3010,899,3407
1331915400,10491,2132,714,7645,8255,2377,867,5011
1331915700,17194,5289,3610,8295,19110,1605,9439,8066
1331916000,15645,5568,5442,4635,17582,2273,8843,6466
1331916300,23784,9480,6211,8093,22647,6969,6675,9003
1331916600,11455,3159,4519,3777,23461,8800,9789,4872
1331916900,15646,8631,6175,840,21527,3375,9099,9053
1331917200,16518,6910,6239,3369,23948,9669,6781,7498
1331917500,15707,9080,2615,4012,25245,8969,8531,7745
1331917800,10672,3807,2673,4192,11627,1277,2373,7977
1331918100,17799,4604,7844,5351,16962,8254,4352,4356
1331918400,10800,7089,1130,2581,16409,6103,1399,8907
1331918700,13647,1402,2515,9730,13018,971,6140,5907
1331919000,17213,4408,8523,4282,14832,9702,4284,846
1331919300,9790,903,7544,1343,11156,3916,852,6388
1331919600,13549,4385,3365,5799,15603,6097,2282,7224
1331919900,11294,3635,6066,1593,14301,8405,2537,3359
1331920200,16871,5107,3654,8110,25281,6559,9709,9013
1331920500,10956,8460,1854,642,10089,633,2208,7248
1331920800,12022,6852,3169,2001,19815,5473,5051,9291
1331921100,10460,6238,1865,2357,16624,8436,5625,2563
1331921400,6739,2447,806,3486,25209,9400,6288,9521
1331921700,11422,3969,5598,1855,12890,4870,558,7462
1331922000,18503,1564,7039,9900,17092,9180,2397,5515
1331922300,14676,4693,7914,2069,18595,5817,3232,9546
1331922600,16807,8305,5284,3218,13054,1197,9052,2805
1331922900,15573,6256,7984,1333,16765,8767,4984,3014
1331923200,18548,5863,8103,4582,19647,6956,3073,9618
1331923500,13813,598,6328,6887,10623,7329,91,3203
1331923800,15396,450,8209,6737,22153,4387,8625,9141
1331924100,14011,7024,3473,3514,15799,1409,8100,6290
1331924400,20590,9185,4231,7174,23993,8025,7874,8094
1331924700,16426,6561,925,8940,13589,6233,6862,494
1331925000,17360,6781,4292,6287,17526,4973,5937,6616
1331925300,16462,6806,1227,8429,14174,8137,1016,5021
1331925600,8978,2704,69,6205,19110,8993,8131,1986
1331925900,14910,9345,3187,2378,10592,6061,3242,1289
1331926200,10386,488,1211,8687,11806,8463,1464,1879
1331926500,14407,5086,1841,7480,20940,4511,8578,7851
1331926800,17928,5593,3639,8696,14610,3167,5534,5909
1331927100,13605,2394,6326,4885,7928,3021,4235,672
1331927400,16772,3677,8486,4609,24742,9903,6561,8278
1331927700,8645,6066,9,2570,13542,5340,8161,41
1331928000,9122,4123,4921,78,17038,3686,4031,9321
1331928300,15124,3192,6970,4962,17721,5580,3805,8336
1331928600,13461,9833,3021,607,12280,4799,1007,6474
1331928900,16347,6325,8022,2000,12946,4394,5711,2841
1331929200,21196,3793,8610,8793,11757,694,6391,4672
1331929500,15458,7775,695,6988,16288,9711,1664,4913
1331929800,17537,1134,9550,6853,11908,853,1706,9349
1331930100,12915,493,2603,9819,19463,5648,7858,5957
1331930400,13515,4017,4074,5424,5680,3626,1715,339
1331930700,22842,9954,5312,7576,11543,4904,4892,1747
1331931000,20237,8944,8901,2392,17764,6803,2568,8393
1331931300,22844,8648,6588,7608,16635,4887,4068,7680
1331931600,21292,7722,5533,8037,5657,3363,1222,1072
1331931900,6772,2001,4004,767,18677,7099,8023,3555
1331932200,15101,9472,42,5587,16347,2101,7016,7230
1331932500,20839,7153,4348,9338,18003,8201,2411,7391
1331932800,23969,9706,4927,9336,9541,2504,4898,2139
1331933100,16310,4335,4027,7948,10248,8081,506,1661
1331933400,11404,9185,850,1369,3393,572,1100,1721
1331933700,16668,2121,6752,7795,15976,2633,5372,7971
1331934000,13268,378,4519,8371,14106,5623,886,7597
1331934300,16190,6612,6967,2611,12612,3937,6418,2257
1331934600,4540,1004,2192,1344,12289,5148,4094,3047
1331934900,14945,3523,2620,8802,18860,9241,4158,5461
1331935200,18455,5759,3530,9166,21210,6298,7586,7326
1331935500,15322,75,7158,8089,19126,8170,9663,1293
1331935800,13763,8604,3203,1956,6775,2099,3169,1507
1331936100,18446,9586,2679,6181,17221,3551,5886,7784
1331936400,11365,3456,6507,1402,9041,1362,423,7256
1331936700,27253,8225,9522,9506,9325,3301,1816,4208
1331937000,14977,2717,9859,2401,13966,3521,9641,804
1331937300,18522,3735,5972,8815,12135,4081,5321,2733
1331937600,18149,7588,8802,1759,16878,8231,3661,4986
1331937900,14943,653,8474,5816,11949,4911,6062,976
1331938200,14246,421,9486,4339,16863,9428,5862,1573
1331938500,23872,9084,7924,6864,14648,1257,4896,8495
1331938800,11781,3211,972,7598,16646,2489,5886,8271
1331939100,15073,3138,7483,4452,15263,7566,944,6753
1331939400,11661,1647,5315,4699,13190,1463,6410,5317
1331939700,15147,2693,7743,4711,24583,8335,8000,8248
1331940000,10968,5894,2498,2576,20576,6463,6687,7426
1331940300,13324,6476,3127,3721,10480,5180,1185,4115
1331940600,8471,2309,4794,1368,17819,9347,6412,2060
1331940900,14369,3631,1591,9147,16401,9645,2485,4271
1331941200,23295,7274,8262,7759,11510,3143,2493,5874
1331941500,18217,6699,2541,8977,18917,3901,6081,8935
1331941800,15478,9515,5937,26,20206,5696,9935,4575
1331942100,13800,7486,3960,2354,11945,8958,1674,1313
1331942400,9122,3951,2143,3028,10962,852,4549,5561
1331942700,10887,171,5560,5156,23723,4534,9738,9451
1331943000,21317,7502,6042,7773,15720,2748,9487,3485
1331943300,15434,6526,2870,6038,11273,8491,2339,443
1331943600,28371,9653,9371,9347,20642,7657,4880,8105
1331943900,11851,3101,824,7926,13235,6449,5701,1085
1331944200,18491,8777,2703,7011,22342,7904,6322,8116
1331944500,4466,710,861,2895,16188,2188,6012,7988
1331944800,7189,4059,2328,802,12496,4907,3075,4514
1331945100,17584,5410,8523,3651,23935,7792,7463,8680
1331945400,19503,7079,4879,7545,19247,4041,7734,7472
1331945700,21703,9085,5510,7108,21585,9148,7728,4709
1331946000,22194,9189,6729,6276,8921,105,5896,2920
1331946300,9443,3571,5540,332,23180,9607,8920,4653
1331946600,15807,968,6961,7878,16297,1617,6941,7739
1331946900,20175,9305,7179,3691,25445,9723,8574,7148
1331947200,14342,5658,4203,4481,16808,4684,8451,3673
1331947500,16357,5368,7684,3305,17321,3226,5460,8635
1331947800,15727,5360,7314,3053,18932,9285,4729,4918
1331948100,8608,6956,850,802,17790,9236,4720,3834
1331948400,7481,3710,1466,2305,8872,6747,101,2024
1331948700,16585,9832,4179,2574,10963,2449,3072,5442
1331949000,16002,8755,978,6269,14588,1542,5703,7343
1331949300,19856,6706,6617,6533,17483,7124,4017,6342
1331949600,20161,2752,9211,8198,20519,8551,9555,2413
1331949900,17451,249,7888,9314,15208,5255,1423,8530
1331950200,14631,4132,4086,6413,12786,498,7847,4441
1331950500,17922,4547,5946,7429,22585,8608,4593,9384
1331950800,15990,3253,6761,5976,17530,5862,4785,6883
1331951100,17804,2579,7424,7801,6601,46,2051,4504
1331951400,21841,9623,3508,8710,16936,8043,3635,5258
1331951700,11948,1627,2326,7995,17122,7972,4836,4314
1331952000,22982,7317,6179,9486,17220,4578,8605,4037
1331952300,11738,2635,8881,222,10157,820,1466,7871
1331952600,11653,4659,2663,4331,14213,6000,5010,3203
1331952900,17221,2277,5998,8946,11427,6771,3580,1076
1331953200,16122,3444,4896,7782,21114,5998,9566,5550
1331953500,22877,5451,9942,7484,17595,1524,8902,7169
1331953800,19672,398,9903,9371,20523,7954,6046,6523
1331954100,7899,235,2211,5453,9544,2069,6048,1427
1331954400,13290,7086,2088,4116,15679,4781,8820,2078
1331954700,10789,2661,5726,2402,20077,8124,8226,3727
1331955000,13228,4246,8358,624,12073,3549,2887,5637
1331955300,22532,8802,5533,8197,12971,8481,4178,312
1331955600,7731,4642,1580,1509,20891,6592,4404,9895
1331955900,11729,2387,5830,3512,12626,3225,1784,7617
1331956200,6119,971,717,4431,15841,3334,7097,5410
1331956500,7302,2003,4697,602,18441,8783,3839,5819
1331956800,14494,218,8754,5522,9114,629,7103,1382
1331957100,23238,7795,5900,9543,4685,564,2335,1786
1331957400,26784,8519,8461,9804,7896,5609,711,1576
1331957700,13955,9908,1464,2583,16499,8228,7142,1129
1331958000,14031,5041,7635,1355,14845,3226,2022,9597
1331958300,13591,306,5964,7321,10360,806,1588,7966
1331958600,11958,7741,1806,2411,15141,1722,4021,9398
1331958900,21348,9246,8231,3871,10544,1240,2240,7064
1331959200,11021,1862,9001,158,9748,1043,1011,7694
1331959500,15200,9914,4699,587,15117,6995,4371,3751
1331959800,18926,5891,7071,5964,13720,4654,1171,7895
1331960100,6751,1592,3789,1370,10310,7973,987,1350
1331960400,8682,937,1756,5989,18387,7607,7935,2845
1331960700,20374,8009,8847,3518,14598,4170,5504,4924
1331961000,11574,4689,5024,1861,18720,8988,167,9565
1331961300,12926,7783,1944,3199,14212,8611,2475,3126
1331961600,10010,69,6705,3236,20960,9069,8674,3217
1331961900,20073,8590,2574,8909,19670,9795,1093,8782
1331962200,16612,9124,1233,6255,11005,5755,1428,3822
1331962500,8983,1092,6659,1232,20131,8041,2689,9401
1331962800,13782,65,3881,9836,14389,4003,2504,7882
1331963100,18980,8022,6398,4560,17055,3875,9611,3569
1331963400,13932,4229,4398,5305,17213,7810,3572,5831
1331963700,6704,396,3631,2677,19116,6114,6134,6868
1331964000,14252,2079,3119,9054,7284,2988,1680,2616
1331964300,8759,4291,2278,2190,14098,5304,4663,4131
1331964600,19258,8111,8477,2670,9199,5334,2649,1216
1331964900,11128,1801,4907,4420,27433,8890,8582,9961
1331965200,22123,4170,9650,8303,18149,8108,2220,7821
1331965500,14721,7663,5423,1635,13298,1621,5666,6011
1331965800,21096,8226,5147,7723,17072,3774,6062,7236
1331966100,25965,9413,6590,9962,9454,7064,2146,244
1331966400,17263,4897,3471,8895,21726,8463,9573,3690
1331966700,19816,8684,4702,6430,8217,3745,3021,1451
1331967000,21404,8465,7048,5891,3210,147,77,2986
1331967300,10151,1669,955,7527,10521,379,4063,6079
1331967600,13950,3799,1755,8396,15539,2152,7548,5839
1331967900,10771,2780,7539,452,17538,4192,8497,4849
1331968200,13966,6577,527,6862,17648,9770,4392,3486
1331968500,9711,109,2280,7322,22773,8956,7796,6021
1331968800,7297,2653,1850,2794,11262,5912,2802,2548
1331969100,16465,6714,4929,4822,15668,7734,817,7117
1331969400,11020,831,1331,8858,9103,3097,3540,2466
1331969700,14034,3523,9320,1191,24091,7032,8293,8766
1331970000,15112,2045,9737,3330,13027,7275,1101,4651
1331970300,17146,6810,3076,7260,18054,6786,8408,2860
1331970600,11974,248,6065,5661,14771,2876,4375,7520
1331970900,15546,2744,8618,4184,12003,1531,6833,3639
1331971200,19249,8330,4653,6266,7689,4345,3030,314
1331971500,15668,1862,5334,8472,12809,4866,2324,5619
1331971800,22523,9937,5551,7035,22210,9027,8961,4222
1331972100,8596,1474,6333,789,15185,3601,9922,1662
1331972400,15496,6967,65,8464,10710,1375,5096,4239
1331972700,14517,5726,7373,1418,11681,2397,5061,4223
1331973000,16983,5219,6433,5331,3681,1583,1810,288
1331973300,23536,9837,8389,5310,21884,6097,8918,6869
1331973600,18226,6839,4360,7027,19571,7926,6164,5481
1331973900,20262,4869,6673,8720,8928,5487,2063,1378
1331974200,27865,9796,8340,9729,12404,4528,5102,2774
1331974500,5382,3158,975,1249,11957,6181,4353,1423
1331974800,8341,3063,748,4530,17863,8485,2542,6836
1331975100,22781,7981,8035,6765,16584,7492,2460,6632
1331975400,12059,2243,7823,1993,7722,3438,130,4154
1331975700,12947,7756,3113,2078,4402,645,2791,966
1331976000,23487,9193,5387,8907,13838,4926,6162,2750
1331976300,10923,279,3446,7198,11119,1592,6064,3463
1331976600,11856,1549,1556,8751,9205,2825,1323,5057
1331976900,17433,2114,7798,7521,10178,2120,4444,3614
1331977200,12613,7695,1204,3714,16040,5045,9568,1427
1331977500,23209,9016,8361,5832,22833,8416,6616,7801
1331977800,10336,5031,5157,148,21769,4175,9646,7948
1331978100,11543,4419,4671,2453,12931,182,6472,6277
1331978400,13797,7886,3629,2282,15010,1426,9100,4484
1331978700,17319,6720,1371,9228,8277,63,2006,6208
1331979000,18449,8346,7879,2224,15500,3969,8131,3400
1331979300,23714,8273,5632,9809,7363,2995,83,4285
1331979600,17405,227,8373,8805,20432,2557,9927,7948
1331979900,25145,9458,5977,9710,19765,5264,9008,5493
1331980200,16735,9271,1149,6315,11488,3453,964,7071
1331980500,13137,6120,689,6328,13568,5718,5394,2456
1331980800,8413,2103,2573,3737,8875,448,2414,6013
1331981100,9351,2645,5368,1338,16819,7374,1366,8079
1331981400,11799,5103,4546,2150,10222,1562,7227,1433
1331981700,17773,5734,7173,4866,14675,4461,7025,3189
1331982000,5850,1656,3021,1173,6530,4522,1974,34
1331982300,17570,5096,4368,8106,14702,3251,6948,4503
1331982600,12015,3003,7271,1741,18480,7402,7997,3081
1331982900,22268,8577,7879,5812,12216,3316,7000,1900
1331983200,11806,8020,3107,679,20805,8883,4816,7106
1331983500,19580,9643,5835,4102,14286,5026,2620,6640
1331983800,19578,8189,7441,3948,18267,6514,9814,1939
1331984100,17011,9794,4930,2287,13313,2648,6931,3734
1331984400,14821,6775,5191,2855,6702,1642,1074,3986
1331984700,19648,8321,9115,2212,13508,216,4031,9261
1331985000,8171,940,4688,2543,23088,6274,9918,6896
1331985300,5194,4757,26,411,18444,9170,7073,2201
1331985600,10969,1405,4975,4589,8789,717,506,7566
1331985900,15891,4925,9314,1652,13932,3927,7560,2445
1331986200,15903,2250,5233,8420,8640,3589,5009,42
1331986500,17880,8436,3185,6259,14734,9365,4507,862
1331986800,10342,211,995,9136,12047,5150,587,6310
1331987100,6269,1056,227,4986,8063,4482,2279,1302
1331987400,10895,3297,5751,1847,13775,3265,5813,4697
1331987700,19776,2624,7369,9783,12101,2397,4662,5042
1331988000,3502,1946,1036,520,22204,9826,5599,6779
1331988300,24090,8474,9937,5679,16864,1398,8585,6881
1331988600,17817,7481,2135,8201,10677,3088,4999,2590
1331988900,16694,8039,680,7975,11901,1135,3094,7672
1331989200,16125,2680,7939,5506,13337,826,7434,5077
1331989500,14836,5074,6455,3307,16916,1789,7583,7544
1331989800,14379,2938,3477,7964,15740,1104,5002,9634
1331990100,12810,7395,3635,1780,23821,8213,7207,8401
1331990400,18499,5168,8409,4922,18384,3236,7198,7950
1331990700,9080,3675,733,4672,15160,4343,7238,3579
1331991000,18270,6682,3870,7718,14252,5287,4209,4756
1331991300,17976,8076,7730,2170,8611,4235,4065,311
1331991600,22784,4925,8489,9370,14791,6004,3772,5015
1331991900,12162,7667,4269,226,16433,7304,3628,5501
1331992200,19565,8745,3249,7571,17369,8757,6162,2450
1331992500,9623,6901,80,2642,11531,1874,4413,5244
1331992800,15807,6958,890,7959,14142,954,4168,9020
1331993100,6490,5434,511,545,25067,8621,9519,6927
1331993400,13662,1007,7567,5088,23544,9701,9385,4458
1331993700,12528,2787,8472,1269,19591,4441,5228,9922
1331994000,17060,8809,6329,1922,11971,118,5148,6705
1331994300,5678,2062,2817,799,11529,5255,2033,4241
1331994600,9976,7440,1937,599,18095,5656,6617,5822
1331994900,17931,3281,9801,4849,14394,4782,936,8676
1331995200,13620,3869,4577,5174,14827,3356,5194,6277
1331995500,14714,8884,4899,931,14725,4567,6566,3592
1331995800,15089,9463,68,5558,19166,6601,9834,2731
1331996100,15136,6832,867,7437,12754,2882,3252,6620
1331996400,7538,1023,5267,1248,10009,3055,6786,168
1331996700,17673,7343,8591,1739,15180,1474,7945,5761
1331997000,3576,1564,255,1757,19098,975,8172,9951
1331997300,10152,1333,1683,7136,9077,5462,2461,1154
1331997600,18727,4367,6267,8093,9524,5847,3291,386
1331997900,8490,193,1084,7213,9259,2988,3173,3098
1331998200,6750,4447,507,1796,21488,9777,6364,5347
1331998500,21061,9585,1753,9723,4877,839,169,3869
1331998800,13890,6819,5845,1226,18197,9895,5732,2570
1331999100,13732,7515,1218,4999,15638,8978,1685,4975
1331999400,14285,4185,1863,8237,11451,1163,3365,6923
1331999700,13231,3556,2718,6957,18218,2353,6324,9541
1332000000,8809,1851,4071,2887,13405,8643,2206,2556
1332000300,14272,4379,642,9251,19310,8962,6540,3808
1332000600,9580,542,7212,1826,12226,7228,3326,1672
1332000900,13686,4698,2693,6295,17812,6323,4169,7320
1332001200,9007,1898,1059,6050,16637,5621,1420,9596
1332001500,7242,1703,5176,363,23487,8973,5194,9320
1332001800,24241,9749,8576,5916,12930,1765,6004,5161
1332002100,14050,794,7538,5718,14806,3178,8134,3494
1332002400,27932,9022,9007,9903,2730,122,1567,1041
1332002700,15248,8622,3456,3170,18713,3208,9229,6276
1332003000,22143,9779,6262,6102,18873,9572,9294,7
1332003300,13612,3442,8886,1284,14655,5295,6095,3265
1332003600,9447,641,1556,7250,25507,6346,9766,9395
1332003900,12246,4986,3833,3427,15127,7664,6651,812
1332004200,20112,6408,9366,4338,16564,8167,1813,6584
1332004500,16229,1944,7440,6845,16676,3899,3814,8963
1332004800,6132,145,678,5309,11827,3560,5926,2341
1332005100,17285,2382,7471,7432,11053,3495,98,7460
1332005400,12590,2588,7807,2195,15506,6891,6506,2109
1332005700,13074,1217,7227,4630,25334,7382,8830,9122
1332006000,17199,5489,4562,7148,18214,459,8449,9306
1332006300,25037,7625,9988,7424,14877,8636,5651,590
1332006600,11389,3288,2611,5490,20551,3692,7702,9157
1332006900,21629,9620,5603,6406,14189,7471,2867,3851
1332007200,18383,3398,8196,6789,20265,8210,4057,7998
1332007500,4300,1122,1328,1850,6970,4433,1516,1021
1332007800,16821,2651,8618,5552,12293,1624,2558,8111
1332008100,15748,5182,2092,8474,13099,4022,8648,429
1332008400,13256,203,5858,7195,12307,7881,2205,2221
1332008700,19212,8800,2245,8167,17100,6654,3617,6829
1332009000,15707,8884,3594,3229,23191,8766,5410,9015
1332009300,17496,9460,6923,1113,4902,1911,2819,172
1332009600,19138,9414,6427,3297,13199,6265,5856,1078
1332009900,19147,8072,3965,7110,8132,336,5827,1969
1332010200,19100,7696,8630,2774,27582,9589,9350,8643
1332010500,14227,770,4433,9024,18568,5459,6318,6791
1332010800,13317,9873,3110,334,27845,9627,8708,9510
1332011100,20226,1576,9217,9433,4078,1228,1314,1536
1332011400,21594,5521,6983,9090,14160,4119,1679,8362
1332011700,15225,4572,5509,5144,20729,3948,7489,9292
1332012000,14129,2299,6357,5473,17974,4278,8446,5250
1332012300,17598,9210,4036,4352,11531,3109,1267,7155
1332012600,22834,8010,7078,7746,7864,4371,2550,943
1332012900,13388,2362,8997,2029,13282,545,3864,8873
1332013200,16605,6298,771,9536,16767,6289,9724,754
1332013500,3401,2370,1006,25,22215,7521,7566,7128
1332013800,16722,4377,6894,5451,15884,514,7818,7552
1332014100,9845,6619,655,2571,14930,6619,7618,693
1332014400,14220,203,9010,5007,10500,5278,4911,311
1332014700,10877,5912,1133,3832,11380,3282,6549,1549
1332015000,13514,3359,3976,6179,13693,3363,9651,679
1332015300,20477,8579,8117,3781,18273,8081,6904,3288
1332015600,16505,3023,9112,4370,14687,3433,3735,7519
1332015900,18682,8654,9971,57,13214,692,4211,8311
1332016200,21601,2372,9716,9513,14593,8150,4303,2140
1332016500,15439,4211,6930,4298,16029,9433,2282,4314
1332016800,14211,5381,3729,5101,11888,443,5493,5952
1332017100,15802,1826,4395,9581,6281,1244,2585,2452
1332017400,20554,6183,5949,8422,16242,2917,9908,3417
1332017700,12360,1700,2664,7996,11266,6027,4260,979
1332018000,18541,5906,5064,7571,12884,455,9364,3065
1332018300,14683,7470,3489,3724,12647,6164,5571,912
1332018600,16143,3427,4239,8477,22556,8985,6025,7546
1332018900,9932,343,3915,5674,18763,4006,5630,9127
1332019200,9196,1951,7142,103,14025,2282,6647,5096
1332019500,13960,9386,3387,1187,16400,6244,7621,2535
1332019800,12261,8252,3140,869,11368,7608,2807,953
1332020100,13677,4529,5354,3794,12997,4566,5073,3358
1332020400,20640,8595,7315,4730,14537,6466,7944,127
1332020700,19852,8186,2763,8903,10703,2510,820,7373
1332021000,17819,6453,5807,5559,12628,3120,7348,2160
1332021300,7672,489,3441,3742,9370,3972,1452,3946
1332021600,22073,7548,9309,5216,24241,8545,9981,5715
1332021900,20924,8359,9332,3233,16766,6163,1751,8852
1332022200,7080,214,2513,4353,18992,7446,4668,6878
1332022500,18535,9693,6049,2793,5711,3673,875,1163
1332022800,15270,6563,4101,4606,22288,8239,8864,5185
1332023100,8389,1357,905,6127,17634,7249,7236,3149
1332023400,17848,1909,6815,9124,12712,2820,1769,8123
1332023700,10589,146,5494,4949,12939,1037,3451,8451
1332024000,19442,1248,8762,9432,21352,7163,5116,9073
1332024300,12221,3214,75,8932,15276,626,6335,8315
1332024600,14697,1991,5901,6805,18196,9182,1290,7724
1332024900,9573,4547,3744,1282,16573,4965,2114,9494
1332025200,9666,7877,889,900,19378,8295,4472,6611
1332025500,6638,786,1112,4740,15370,6467,7438,1465
1332025800,16682,9047,7440,195,16421,2873,4917,8631
1332026100,12194,4881,845,6468,11542,6175,2461,2906
1332026400,20674,9240,5799,5635,16338,993,8054,7291
1332026700,12661,4079,3519,5063,9198,2776,3323,3099
1332027000,16236,10000,3301,2935,15611,7630,7461,520
1332027300,10796,7245,3518,33,14987,3849,2255,8883
1332027600,10104,801,2347,6956,21418,9361,7421,4636
1332027900,16622,7882,3341,5399,14409,6645,6015,1749
1332028200,16496,5868,7394,3234,15215,7634,623,6958
1332028500,19993,8602,9522,1869,21150,9673,2503,8974
1332028800,11634,5592,496,5546,11764,1893,5239,4632
1332029100,17412,4529,9588,3295,17770,9113,3125,5532
1332029400,12382,3070,561,8751,9664,2088,5193,2383
1332029700,15867,8747,2346,4774,16887,8006,3368,5513
1332030000,15920,5126,4428,6366,11529,1196,7112,3221
1332030300,9097,3515,2095,3487,13248,761,5960,6527
1332030600,15342,8310,387,6645,19108,3478,8814,6816
1332030900,13316,2092,1684,9540,8007,2990,3591,1426
1332031200,10374,1532,5163,3679,16589,6105,991,9493
1332031500,13103,1279,8597,3227,22901,9230,9702,3969
1332031800,9320,1365,4918,3037,22471,8389,6235,7847
1332032100,13851,1104,3289,9458,7327,450,563,6314
1332032400,24878,9156,6368,9354,18172,8161,7803,2208
1332032700,11043,9322,667,1054,11196,9398,658,1140
1332033000,17510,3387,7479,6644,23927,9563,6656,7708
1332033300,13918,8455,2451,3012,18376,3677,6990,7709
1332033600,22492,4257,8357,9878,19883,9645,1195,9043
1332033900,21283,9139,5768,6376,18853,4494,9225,5134
1332034200,17319,9917,6247,1155,18746,3967,5767,9012
1332034500,10026,959,6697,2370,8469,1920,1290,5259
1332034800,22535,9883,7144,5508,18965,6263,2902,9800
1332035100,10544,7457,1874,1213,20463,7481,5021,7961
1332035400,24591,7576,7758,9257,14401,5925,3858,4618
1332035700,11460,7406,443,3611,18727,9434,8903,390
1332036000,11768,5194,1933,4641,8746,5984,819,1943
1332036300,21024,7962,9292,3770,13051,8057,2869,2125
1332036600,13809,479,6793,6537,11133,6379,3280,1474
1332036900,19328,7149,5702,6477,16763,4717,3551,8495
1332037200,21286,4228,9005,8053,11944,1948,6036,3960
1332037500,12585,2341,5493,4751,11142,245,8846,2051
1332037800,5678,227,5393,58,16580,4541,4638,7401
1332038100,15183,1371,5536,8276,19890,7455,7918,4517
1332038400,21275,8738,4677,7860,21234,3970,9838,7426
1332038700,6521,1133,3782,1606,20748,6319,7307,7122
1332039000,9737,5762,559,3416,24685,9354,6170,9161
1332039300,11561,920,6111,4530,9102,3963,1502,3637
1332039600,22040,8817,4377,8846,23228,7922,5599,9707
1332039900,20871,9761,2260,8850,10112,558,8853,701
1332040200,10575,6904,1720,1951,11649,2200,5219,4230
1332040500,22002,6844,8790,6368,21600,7017,9621,4962
1332040800,15968,9245,5747,976,17391,6562,6532,4297
1332041100,22437,6458,8483,7496,9672,542,8014,1116
1332041400,21833,6480,9118,6235,10062,1261,7784,1017
1332041700,17656,9730,2062,5864,17947,9154,1793,7000
1332042000,8402,4831,2116,1455,19112,2572,6862,9678
1332042300,3723,2498,993,232,10711,3579,1232,5900
1332042600,15237,4161,2531,8545,7304,541,5715,1048
1332042900,21478,3670,8795,9013,12635,5655,5527,1453
1332043200,15895,6591,9101,203,17621,2564,8899,6158
1332043500,11627,1333,5064,5230,5444,3361,597,1486
1332043800,16530,6058,5223,5249,14011,6098,1143,6770
1332044100,16086,5320,3510,7256,14041,4157,2025,7859
1332044400,13255,7520,1992,3743,9231,1431,964,6836
1332044700,10806,381,7188,3237,23364,7694,5878,9792
1332045000,11633,2747,7699,1187,13593,4247,8356,990
1332045300,11681,3769,2443,5469,20616,1842,9910,8864
1332045600,7601,221,4591,2789,23538,9409,7887,6242
1332045900,17237,2135,7319,7783,18508,6084,5127,7297
1332046200,10392,3470,336,6586,12277,6109,4837,1331
1332046500,8432,2546,2020,3866,11611,4046,3330,4235
1332046800,13397,5279,154,7964,18149,6214,6543,5392
1332047100,20279,4987,8378,6914,15910,6689,2029,7192
1332047400,14467,6319,3062,5086,13497,4827,7540,1130
1332047700,17484,5692,3496,8296,16388,8963,4541,2884
